GEOID,nodes
49035,289921
51007,6188
37023,12216
06097,57842
48395,17
50009,2234
51139,7368
37133,17783
13139,34363
37015,1254
36077,1542
12031,255415
34005,68425
48245,1142
27077,2858
51147,1817
06025,11692
08029,1130
10001,25621
12033,43002
48457,0
19111,2234
48215,13825
48413,18
32027,2128
22111,283
13317,39
13305,1520
01001,1433
45055,4943
51149,5403
19147,120
22115,359
53015,8169
08109,6597
30105,1385
48441,10423
12089,138579
18069,961
48373,226
16079,7492
51175,34
29205,6
47175,566
47185,589
47041,107
49029,14193
21205,2511
21079,3354
22071,16177
51840,8085
21181,205
27171,42194
36043,3987
08117,16047
48315,232
47123,1691
48219,225
05011,6
05103,85
09007,41131
48277,926
20003,414
42035,12016
22059,1175
37137,1053
28029,51
45019,27223
12009,129609
29095,210539
05139,42
54019,1540
18161,731
05029,2435
37123,1918
12086,249376
51193,1313
06027,10594
06053,152186
35039,6124
51171,4437
42003,90171
19033,3292
36045,4128
09009,136052
48171,320
04021,194648
06093,19708
24031,336499
01117,73484
41065,11488
54045,744
48401,1052
17003,165
23027,9673
37193,9298
48129,30
21179,2634
54023,1065
36053,9908
13051,26783
38077,2714
22009,87
48349,605
40133,223
53027,6700
24017,28031
48071,2606
12053,13458
53017,9959
28017,185
21097,549
51019,13073
22079,2535
34025,93204
35007,5567
28137,312
27075,32806
48391,477
28033,20632
06017,27504
30045,102
40101,2381
21059,4221
28109,183
06003,3392
28163,270
24013,16800
47091,1783
08055,2541
49037,11569
40065,658
47089,2518
21189,706
12107,4249
55023,1687
40031,5713
12023,5194
18083,2451
45025,55
37009,3183
51057,118
55003,14214
37019,6675
46125,106
32033,2179
45007,17285
49005,58605
54109,216
05045,14043
54039,13033
13135,160344
40025,15
18001,962
22097,742
51121,15221
48313,0
30011,0
22005,883
45041,4560
53009,21684
21065,1522
48453,270096
29197,13
22015,10324
13029,14051
13303,334
37171,3554
28021,185
46095,31
48335,236
30039,4541
22035,85
08069,56120
20143,65
45045,55740
22037,254
20009,1726
16061,531
49011,81288
35055,6359
48449,1527
30033,8
48459,2237
06047,13164
36071,40198
18147,3141
46047,698
25011,24663
51083,585
51095,17498
16041,943
45083,43186
39167,13765
42045,53873
08093,17107
37051,12747
30031,24982
22039,774
19093,1192
01009,1729
22001,234
51191,5884
37021,20566
23017,12326
33009,40861
16037,6228
37139,4007
38067,1017
48175,696
19149,605
54081,4285
40067,44
26143,1085
13185,2981
17047,12
28087,1013
42091,189168
42053,3746
30013,4760
42017,191614
48405,3
41017,43477
38099,708
08071,2925
08057,4280
48303,19621
13289,1671
12049,90
48409,1838
54075,8700
42101,137502
51023,6668
53019,616
21101,5915
54065,994
48225,1277
13205,58
30081,8784
53047,7309
47141,5218
45075,3565
05095,386
21193,188
22083,610
16087,736
01099,486
22051,23019
39121,1917
46075,38
45085,5227
37029,5619
56031,6718
51157,4952
45067,229
48403,1003
30005,17
08045,7911
37155,1042
48347,2153
48067,170
13201,8
29037,6576
21005,150
12017,12332
21051,268
06005,2180
13089,51602
37173,12963
08053,8159
21003,697
22127,303
47189,14701
12117,64297
28039,149
12039,22665
21033,372
35033,1168
08027,5712
22125,138
44009,19470
51063,986
42133,69461
20119,89
37093,2174
13013,14916
12045,1921
13027,700
31013,324
05003,286
05007,93682
21127,2790
06009,2760
46137,85
20203,0
51061,55199
48045,3990
20081,18
48201,391927
27165,484
22065,626
39117,697
36111,55463
06085,496611
04009,3860
29063,539
32003,282320
12121,5385
37091,458
48343,269
47107,898
13079,2060
48371,481
46073,0
12065,628
47165,7031
13033,507
20079,1522
42089,12583
51165,12336
51159,279
37027,10594
48241,443
31049,0
46111,14
49013,332
51141,555
21031,367
06087,180255
24005,203153
51119,767
34031,100210
06083,79996
51111,421
45047,10505
31155,5639
13241,5290
51091,2266
21151,6660
26129,1468
27031,34343
29023,218
28157,70
13137,2329
13151,9471
53029,18415
47057,4093
42043,81198
21195,1075
48333,196
34003,215805
21175,604
37129,17686
04013,475839
01049,684
37183,601318
06051,14740
48233,666
37013,1745
47013,1131
56039,14062
24037,10275
30023,3643
48041,16963
12075,4565
42023,3832
54041,1254
12057,189037
53049,2598
20025,4
37167,1485
01071,1087
28159,229
11001,214451
12103,84323
48411,759
46103,54997
30087,2613
51087,46230
42125,59343
48359,28
26097,5903
45087,736
48427,224
20123,6
48105,27
48467,2819
25007,4343
27103,12633
51093,21346
26089,14011
08115,472
49007,753
53073,27545
13179,10720
48351,86
04001,2853
51041,48365
40023,69
13195,1963
21147,9537
51027,203
21085,859
37057,12192
26033,13948
06073,346258
18123,1811
48017,112
28055,60
06105,30141
51101,1919
34009,13019
21235,2969
19029,265
38085,304
21095,521
37017,164
21099,1369
48169,68
48033,0
47135,54
16033,335
42075,13694
48475,400
41031,1516
12083,14157
49033,271
47129,4498
37087,7312
50023,6422
55121,3160
48157,151846
29157,613
48321,2307
23009,20402
13269,44
40117,56
13189,2410
22103,4257
05057,1080
46023,451
21153,1056
55007,13057
48013,1822
37101,116617
54099,21650
47005,161
48499,2419
48083,11
21135,1309
51051,77
34023,121632
40095,316
48031,3555
12055,2566
37089,11483
48339,41734
27127,230
34027,110772
41015,3320
01003,13623
48079,0
30061,6986
16015,78386
30025,530
24039,1150
55029,7353
21155,516
01047,1164
13191,163
47063,2578
46035,5533
16049,4442
05063,2567
12027,703
21187,2340
26163,492401
41039,68154
51143,5195
30043,8784
54007,844
48455,0
01119,683
48419,124
04012,2250
20113,915
06019,55456
20055,785
47085,275
37153,429
42059,614
29027,8383
46007,89
22067,1549
37165,343
08095,0
40141,238
12113,35766
35029,1369
12079,695
12041,603
38071,1063
26079,2738
05131,6237
51015,13827
40125,2554
26109,1592
16063,49
35045,17221
48007,1212
08083,2807
36091,29500
33015,68272
05145,4337
01121,4762
30053,4735
48323,1920
20185,165
28069,36
47145,2194
48355,13038
51127,1660
34001,54941
13039,6285
28149,664
21067,64137
46085,657
45029,1598
21131,156
40027,31975
51690,198
13009,2298
19163,23879
13181,2455
28007,220
34033,18879
26039,2831
19117,237
18117,5156
19069,211
18055,333
26073,4003
39159,9176
19135,12
05009,1097
26023,460
42009,2760
42121,7020
13233,1687
21197,3605
27081,165
39099,42959
35023,1180
54001,1544
28053,99
05067,265
17185,302
49001,572
48473,14439
01043,1469
45065,2687
06011,797
06045,13950
46087,267
37177,334
36033,3226
20139,131
55115,643
06029,25500
29217,109
55095,9663
10003,56583
12087,178918
45069,314
01065,1172
53035,19658
20135,34
55001,1230
48361,708
13121,218995
21133,371
48119,83
48173,0
08013,83985
27021,26727
29041,129
17143,33763
55045,8162
22027,18
26157,469
21039,0
46099,17168
46061,26
42079,18457
17033,454
27079,5592
27091,282
55005,2106
38009,2383
55053,1668
29159,857
39091,1649
46005,172
18105,39403
19055,1087
19067,687
05087,1188
46039,62
49057,75314
26153,1721
50025,9564
18017,2149
56021,15415
27059,1029
48263,22
54105,321
39067,1069
39065,3634
31003,1131
37081,22731
46101,33
26027,1311
32023,194305
36011,13027
23011,14072
29117,610
48069,66
56009,5444
41025,204
41069,192
49055,562
55085,6498
18091,17130
37195,1059
38041,31
44003,9621
31123,1912
39113,44561
49009,210
37025,69753
29007,842
39063,17894
29151,4980
31001,621
32019,21338
30107,264
05049,232
55141,9556
05047,4492
17055,2283
17029,3348
55067,3470
28113,277
29107,1239
13015,4100
29011,187
42073,4370
29121,62
13143,312
17053,1394
42069,15130
39103,17280
13173,203
17025,2
26017,6917
39075,1356
13239,47
36101,8804
54035,578
38061,386
17201,16888
31043,5445
20093,0
29043,1331
18077,850
48049,87
27049,8893
37037,35058
35028,7927
05005,2595
28119,35
01029,3566
48117,107
27001,2792
42037,3631
27117,1006
48399,79
13223,5455
40011,741
48417,179
36085,66972
47083,9
47181,151
48281,775
29073,366
23029,14630
13321,103
17093,46035
51800,14030
26051,1276
51750,1574
29079,252
18009,224
36041,2297
25019,2739
48165,13592
38029,238
41037,544
19137,196
35013,26694
40035,140
55069,1344
40143,103895
01081,12899
47133,1732
40139,751
48447,0
19095,1099
26075,6259
29103,0
01013,514
48217,543
47061,3467
12111,11958
31083,369
31107,1034
32510,34373
18183,1982
48357,51
13037,2
47069,540
13081,167
51740,10020
40029,0
08007,696
29091,3444
31017,1013
36099,4340
17087,1809
40057,0
05055,784
48253,388
38069,167
18143,1165
40137,679
47177,146
13061,121
21083,78
31047,1118
37073,378
26125,297357
55071,3618
