course,link,latitude,longitude
Anthem,https://www.pdga.com/course-directory/course/anthem,35.974841,-115.090416
Anthony Lake Disc Golf Course,https://www.pdga.com/course-directory/course/anthony-lake-disc-golf-course,37.1749,-98.0495
Antigo High School,https://www.pdga.com/course-directory/course/antigo-high-school,45.1329787,-89.1740622
Antioch Silver Lochs,https://www.pdga.com/course-directory/course/tim-osmond-sports-complex,42.4783,-88.08
Apex Nature Park,https://www.pdga.com/course-directory/course/apex-nature-park,35.7209512,-78.9019103
Apple Mountain,https://www.pdga.com/course-directory/course/apple-mountain,NA,NA
Apple Valley High School,https://www.pdga.com/course-directory/course/apple-valley-high-school,44.7428188,-93.2305542
Appleton Disc Golf Course,https://www.pdga.com/course-directory/course/appleton-disc-golf-course,45.203436427137,-96.017131328566
Aquatic Park,https://www.pdga.com/course-directory/course/aquatic-park,37.8606,-122.2998
Arab City Park,https://www.pdga.com/course-directory/course/arab-city-park-844-shoal-creek-trail-35016,34.320759082648,-86.480788886547
Aragon Disc Golf Course,https://www.pdga.com/course-directory/course/aragon-disc-golf-course,NA,NA
Arakelian Park Disc Golf Course,https://www.pdga.com/course-directory/course/arakelian-park-disc-golf-course,37.377979,-120.72767
Arapahoe Basin Disc Golf Course,https://www.pdga.com/course-directory/course/arapahoe-basin-disc-golf-course,39.642627441884,-105.8712735474
Arapahoe Community College,https://www.pdga.com/course-directory/course/arapahoe-community-college,39.6080302,-105.0188451
Arboretum-Spiker Park,https://www.pdga.com/course-directory/course/arboretum-spiker-park,40.838983,-81.41035
Arcadia Lake - Blue,https://www.pdga.com/course-directory/course/arcadia-lake-blue,35.640386,-97.38286
Arcadia Lake - Red,https://www.pdga.com/course-directory/course/arcadia-lake-red,35.640385,-97.382859
Arcadia Park #2,https://www.pdga.com/course-directory/course/arcadia-park-2,32.875256,-97.276516
Archer Disc Golf Course,https://www.pdga.com/course-directory/course/archer-disc-golf-course,41.1538179,-104.653754
Archer Park Disc Golf Course,https://www.pdga.com/course-directory/course/archer-park-disc-golf-course,41.40304675485,-88.118457714666
Archusa Creek Water Park,https://www.pdga.com/course-directory/course/archusa-creek-water-park,32.026468,-88.711964
Arcola Heights Park,https://www.pdga.com/course-directory/course/arcola-heights-park,45.0935644,-92.7920109
Arctic Springs Disc Golf Course,https://www.pdga.com/course-directory/course/arctic-springs-disc-golf-course,44.1010454,-91.3519223
Area 51,https://www.pdga.com/course-directory/course/area-51,39.869110986325,-82.969310998911
Arena Disc Golf Course,https://www.pdga.com/course-directory/course/arena-disc-golf-course,43.16862,-89.9277
Arethusa Springs Disc Golf Course,https://www.pdga.com/course-directory/course/arethusa-springs-dgc,39.7070597,-82.2015984
Argo Park Disc Golf Course,https://www.pdga.com/course-directory/course/argo-park-disc-golf-course,33.689764055217,-86.509960591793
Argonne Disc Golf Course,https://www.pdga.com/course-directory/course/argonne-disc-golf-course,41.7079504,-87.9723071
Argos Community Park,https://www.pdga.com/course-directory/course/argos-community-park,NA,NA
Ariens Disc Golf Course,https://www.pdga.com/course-directory/course/ariens-disc-golf-course,40.39071,-95.8480989
Arizona Snowbowl,https://www.pdga.com/course-directory/course/arizona-snowbowl,35.3254,-111.7107
Arkadelphia Youth Sports Complex,https://www.pdga.com/course-directory/course/arkadelphia-youth-sports-complex,34.147452,-93.077248
Arkansas Tech University,https://www.pdga.com/course-directory/course/arkansas-tech-university,35.498,-93.84
Arlington City Park,https://www.pdga.com/course-directory/course/arlington-city-park,44.3604756,-97.1334769
Arlington Heights Elementary School,https://www.pdga.com/course-directory/course/arlington-heights-elementary-school,39.1872945,-86.541882
Armbruster Disc Golf Course,https://www.pdga.com/course-directory/course/armbruster-disc-golf-course,44.116284,-92.448196
Armco Blue,https://www.pdga.com/course-directory/course/armco-blue,38.43785,-82.690342
Armco Park,https://www.pdga.com/course-directory/course/armco-park,39.458653,-84.280015
Armco White,https://www.pdga.com/course-directory/course/armco-white,38.438245,-82.689993
Armour City Park,https://www.pdga.com/course-directory/course/armour-city-park,43.3262784,-98.3497111
Armstrong Park,https://www.pdga.com/course-directory/course/armstrong-park,41.9581748,-85.6343507
Arnold City Park,https://www.pdga.com/course-directory/course/arnold-city-park,38.4540699,-90.3551208
Arrow Lake Foundation Disc Golf Course,https://www.pdga.com/course-directory/course/arrow-lake-foundation-disc-golf-course,35.5431979,-87.216049
Arrowdynamics Disc Golf,https://www.pdga.com/course-directory/course/arrowdynamics-disc-golf,44.7505262,-69.7286311
Arrowhead County Club - The Water Way Course,https://www.pdga.com/course-directory/course/arrowhead-county-club-water-way-course,33.7101475,-78.952158
Arrowhead Disc Golf Course,https://www.pdga.com/course-directory/course/arrowhead-disc-golf-course,38.1317908,-85.853162
Arrowhead Park,https://www.pdga.com/course-directory/course/arrowhead-park,34.1380841,-77.9150824
Arrowstone Park,https://www.pdga.com/course-directory/course/arrowstone-park,46.3844154,-112.7367223
Arroyo Chamisos Disc Golf Course,https://www.pdga.com/course-directory/course/arroyo-chamisos-disc-golf-course,35.642117,-105.9903
Arroyo Grande Disc Golf Course,https://www.pdga.com/course-directory/course/arroyo-grande-disc-golf-course,36.0431051,-115.0538919
Arsenal at Southern Hills,https://www.pdga.com/course-directory/course/arsenal-southern-hills,36.556972498793,-79.432272453596
Art Dye Disc Golf Park,https://www.pdga.com/course-directory/course/art-dye-disc-golf-park,40.3974565049,-111.78129996693
Arthur Latham Park,https://www.pdga.com/course-directory/course/arthur-latham-park,43.2812057,-83.547762
Arthur O. Fisher Park,https://www.pdga.com/course-directory/course/arthur-o-fisher-park-0,39.7310316,-84.2882049
Arvig Park,https://www.pdga.com/course-directory/course/arvig-park,46.599746,-95.570107
Asbury UMC Disc Golf Course,https://www.pdga.com/course-directory/course/asbury-umc-disc-golf-course,34.7296026,-86.7423053
Ash Creek Park,https://www.pdga.com/course-directory/course/ash-creek-park,32.883844,-97.535387
Ash Grove City Park,https://www.pdga.com/course-directory/course/ash-grove-city-park,37.316181,-93.580492
Ashbaugh Park,https://www.pdga.com/course-directory/course/ashbaugh-park,35.668677526808,-105.97207500859
Ashe County Park Disc Golf Course,https://www.pdga.com/course-directory/course/ashe-county-park-disc-golf-course,NA,NA
Ashe Lake Disc Golf Course,https://www.pdga.com/course-directory/course/ashe-lake-disc-golf-course,31.029,-89.1668
Ashland City Park,https://www.pdga.com/course-directory/course/ashland-city-park,38.7761624,-92.2588311
Ashland High School,https://www.pdga.com/course-directory/course/ashland-high-school,40.855008,-82.324132
Ashland High School,https://www.pdga.com/course-directory/course/ashland-high-school-0,37.1936959,-99.773528
Ashland School Playground,https://www.pdga.com/course-directory/course/ashland-school-playground,46.567114,-90.877878
Aspen Crossing Elementary School,https://www.pdga.com/course-directory/course/aspen-crossing-elementary-school,39.6324986,-104.7520485
Aspen Mountain,https://www.pdga.com/course-directory/course/aspen-mountain,39.151773353287,-106.81915932709
Aspen Springs,https://www.pdga.com/course-directory/course/aspen-springs,37.21349,-107.178
Association Retreat Center Disc Golf Course,https://www.pdga.com/course-directory/course/association-retreat-center-disc-golf-course,45.2531774,-92.6439286
ASU Polytechnic 2023,https://www.pdga.com/course-directory/course/asu-polytechnic-2023,33.3062665,-111.6781654
ASUMH Disc Golf Course,https://www.pdga.com/course-directory/course/asumh-disc-golf-course,36.3204181,-92.3885758
Athens Regional Park Disc Golf Course,https://www.pdga.com/course-directory/course/athens-regional-park-disc-golf-course,35.457996870071,-84.635772593683
Athens State University,https://www.pdga.com/course-directory/course/athens-state-university,34.807364,-86.963718
Athey Creek Middle School,https://www.pdga.com/course-directory/course/athey-creek-middle-school,45.3776918,-122.706486
Atkins Park,https://www.pdga.com/course-directory/course/atkins-park,41.9927181,-91.856375
Atkinson Park Disc Golf Course,https://www.pdga.com/course-directory/course/atkinson-park-disc-golf-course,37.862265,-87.577241
Atwood Water Park Disc Golf Course,https://www.pdga.com/course-directory/course/atwood-water-park-dgc,31.549981815102,-90.08424282074
Auburn Regional Park,https://www.pdga.com/course-directory/course/auburn-regional-park,38.9539,-121.10725
Auburn University Montgomery (AUM),https://www.pdga.com/course-directory/course/auburn-university-montgomery-aum,32.363659856203,-86.174783706665
Audubon Park,https://www.pdga.com/course-directory/course/audubon-park,32.846388677539,-96.615640789259
Augusta/Gardiner KOA,https://www.pdga.com/course-directory/course/augustagardiner-koa,44.151373,-69.870841
Aumiller Park Disc Golf Course,https://www.pdga.com/course-directory/course/aumiller-park-disc-golf-course,40.80331,-82.991381
Aurora Disc Golf Course,https://www.pdga.com/course-directory/course/aurora-disc-golf-course,36.9728015,-93.7320746
Ausable Chasm Disc Golf Course,https://www.pdga.com/course-directory/course/ausable-chasm-disc-golf-course,44.51931,-73.4338184
Austin Ridge Bible Church,https://www.pdga.com/course-directory/course/austin-ridge-bible-church,30.3184723,-97.8710744
Austine Disc Golf Course,https://www.pdga.com/course-directory/course/austine-disc-golf-course,42.84305,-72.57522
Austins Colony,https://www.pdga.com/course-directory/course/austins-colony,30.684902,-96.3324198
Austintown Township Park,https://www.pdga.com/course-directory/course/austintown-township-park,41.0690758,-80.7746993
Autumn Creek Disc Golf Course,https://www.pdga.com/course-directory/course/autumn-creek-disc-golf-course,41.485251,-87.418398
Autumn Hill Disc Golf Course,https://www.pdga.com/course-directory/course/autumn-hill-disc-golf-course,38.448476,-91.0215086
Autumn Ridge Subdivision Park,https://www.pdga.com/course-directory/course/autumn-ridge-subdivision-park,43.1433068,-88.610161
Avalanche Preserve Recreation Area,https://www.pdga.com/course-directory/course/avalanche-preserve-recreation-area,45.201083,-85.012867
Avalon Park,https://www.pdga.com/course-directory/course/avalon-park,28.517997,-81.139601
Avalon Park Disc Golf,https://www.pdga.com/course-directory/course/avalon-park-disc-golf,34.538069,-117.307154
Avalon Peaks Apartments,https://www.pdga.com/course-directory/course/avalon-peaks-apartments,35.7208598,-78.8155693
Avery Preserve DiscGolfPark,https://www.pdga.com/course-directory/course/avery-preserve,41.609417,-88.1734
Avoca Disc Golf Course,https://www.pdga.com/course-directory/course/avoca-disc-golf-course,36.401,-94.072294
Avoca Disc Golf Course,https://www.pdga.com/course-directory/course/avoca-dgc,41.4774839,-95.3265895
Avon Town Hall Disc Golf Course,https://www.pdga.com/course-directory/course/avon-town-hall-disc-golf-course,39.768,-86.408
Axldog Acres Disc Golf Course,https://www.pdga.com/course-directory/course/axldog-acres-disc-golf-course,45.000774,-92.053015
Ayden Park,https://www.pdga.com/course-directory/course/ayden-park,35.4890071,-77.4272519
Azalea Park Disc Golf,https://www.pdga.com/course-directory/course/azalea-park-disc-golf,27.7862583,-82.7379585
Azalea State Park,https://www.pdga.com/course-directory/course/azalea-state-park,42.058619,-124.2760205
